-43.3414,-30.1554,3.9515,0.458311,0.505533,-0.731018,-0.268532,0.862807,0.428316
-7.32489,-30.1554,7.47846,-0.0561008,0.597195,-0.800132,0.0417695,0.802096,0.595733
43.0326,-13.7329,13.9945,-0.696795,0.237703,-0.676738,0.170517,0.971338,0.165609
55.0577,35.9652,9.77969,-0.750233,-0.352274,-0.559511,-0.28239,0.935897,-0.210602
21.3554,53.7439,1.23643,-0.549211,-0.522687,-0.652047,-0.336724,0.852525,-0.399773
-2.58924,50.0328,7.45702,0.0197741,-0.149438,-0.988573,0.00298857,0.988771,-0.149408
-39.9123,45.5497,3.90836,0.516652,-0.333487,-0.788579,0.182759,0.942755,-0.27895
-50.4086,22.7184,-2.69731,0.516652,-0.333487,-0.788579,0.182759,0.942755,-0.27895
-36.3683,2.04464,-3.14307,0.516652,-0.333487,-0.788579,0.182759,0.942755,-0.27895
-22.2752,-0.18328,-9.32604,0.516652,-0.333487,-0.788579,0.182759,0.942755,-0.27895
-11.0776,-12.9263,-6.74065,0.173206,0.398609,-0.900617,-0.0752809,0.917121,0.391436
5.05665,-18.9204,-9.79191,-0.520042,0.636537,-0.569541,0.429209,0.771246,0.470063
