frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,0.00040208,0.00314688,0.00089696,0.00735168,0.0007408,0.00698096,0.00025728
1,0.0003552,0.00242032,0.00079072,0.0048888,0.00054608,0.00643744,0.00024768
2,0.000332,0.00226608,0.00075888,0.00398064,0.00052384,0.0060984,0.00023488
3,0.00033168,0.0021848,0.00071632,0.00388256,0.00051632,0.00586768,0.00022048
4,0.0003328,0.00213184,0.00083072,0.0037792,0.00049856,0.00586864,0.00022064
5,0.0003224,0.00212544,0.00080128,0.00376416,0.0005448,0.00587328,0.00021872
6,0.00033152,0.0021312,0.00081568,0.00377312,0.00051648,0.00587536,0.00022352
7,0.00033328,0.0021344,0.00082976,0.00376992,0.00051312,0.00588464,0.00021968
8,0.00033088,0.00213408,0.00084256,0.00376336,0.00052096,0.00588896,0.00021984
9,0.00032784,0.00213504,0.00085104,0.00375296,0.00072176,0.00589904,0.00021888
10,0.000332,0.00213312,0.00083792,0.0037592,0.00052096,0.00590032,0.00022784
11,0.0003256,0.00213472,0.00078192,0.00376208,0.00051552,0.00590336,0.00022496
12,0.00033056,0.00212976,0.00082624,0.00375936,0.00050128,0.00592256,0.00022784
13,0.00032912,0.00213328,0.0008128,0.00376352,0.00052416,0.00592352,0.00022464
14,0.00031456,0.00213296,0.000864,0.00376848,0.00048448,0.00594064,0.0002208
15,0.00032944,0.00213616,0.00079984,0.0037728,0.00052048,0.00594544,0.00021792
16,0.00033248,0.00213408,0.00084272,0.00377808,0.00051328,0.00595792,0.00021968
17,0.00033328,0.0021368,0.00084096,0.00378192,0.00052528,0.00817536,0.00022112
18,0.00033808,0.0021368,0.00083088,0.0037864,0.00052368,0.00979424,0.00022912
19,0.00032032,0.00213472,0.00084176,0.00380544,0.00051264,0.0105406,0.00021984
20,0.00032752,0.00213376,0.00078192,0.00379936,0.00070352,0.0113506,0.00021888
21,0.0003296,0.00213776,0.00082784,0.00381648,0.00052064,0.0121786,0.00022224
22,0.00032912,0.00212864,0.00082512,0.00390896,0.0005224,0.0140493,0.00022288
23,0.00032288,0.0021816,0.00079328,0.00402304,0.0005192,0.0151923,0.00021984
24,0.00033488,0.002128,0.00084016,0.00408816,0.00051824,0.0156472,0.00022224
25,0.0003328,0.00219664,0.00082352,0.0041592,0.00052304,0.0159862,0.0002192
26,0.0003296,0.002132,0.00085328,0.00424544,0.00052752,0.0164994,0.0002224
27,0.00032528,0.00217296,0.00076816,0.0043088,0.00069808,0.0167309,0.00022016
28,0.00032048,0.00219792,0.00076176,0.00438848,0.00051968,0.0163771,0.00022016
29,0.00032064,0.00218832,0.00093392,0.00446144,0.00050656,0.0165459,0.00022048
30,0.00031792,0.00218672,0.00082896,0.00454528,0.00052832,0.0166181,0.00022176
31,0.00037344,0.00217744,0.0008584,0.00458656,0.00053088,0.0178915,0.00023328
32,0.00033248,0.00224864,0.00083632,0.00563232,0.00056336,0.0178947,0.00022464
33,0.00032096,0.00220832,0.00085744,0.00480672,0.00070272,0.0195018,0.00022096
34,0.00033232,0.00219904,0.00084416,0.00478656,0.00048832,0.0184006,0.0002208
35,0.00032576,0.00219328,0.00083616,0.00478368,0.00052224,0.0185338,0.00021952
36,0.00032336,0.0021688,0.00085744,0.00475856,0.00050592,0.0181315,0.00022048
37,0.00033568,0.00218848,0.00084784,0.00467744,0.00051808,0.0183982,0.00022192
38,0.00032352,0.00218768,0.00090608,0.00465264,0.00053328,0.0200638,0.00022144
39,0.00032032,0.00218,0.0007496,0.0046592,0.00071328,0.0179125,0.00021968
40,0.00032224,0.00218608,0.00082592,0.00464384,0.00051408,0.019399,0.00022
41,0.0003328,0.00217792,0.00080128,0.00461584,0.000532,0.0181542,0.00022272
42,0.00033072,0.00218992,0.00095776,0.00464608,0.00051728,0.0183368,0.00022016
43,0.0003248,0.00220608,0.00080848,0.00462016,0.00051808,0.0191128,0.00022368
44,0.00033456,0.00218272,0.0007944,0.00459296,0.00051264,0.0193646,0.00022288
45,0.00034032,0.0021752,0.0008616,0.00456512,0.00070928,0.0188514,0.00022064
46,0.000316,0.00218176,0.00084624,0.00462304,0.0005008,0.0180994,0.00022176
47,0.00033248,0.00218256,0.00083216,0.0046024,0.00051984,0.0197938,0.00022336
48,0.00033136,0.00220816,0.00086384,0.0046312,0.00051136,0.0201451,0.0002232
49,0.0003216,0.00219776,0.00082416,0.00461088,0.00054416,0.0207571,0.0002208
50,0.00033424,0.00219424,0.00086016,0.0046224,0.00053616,0.0206427,0.00021808
51,0.00032928,0.00216448,0.0008648,0.0046112,0.00070016,0.021863,0.00021952
52,0.00033696,0.00217488,0.000844,0.00463392,0.00051888,0.0198995,0.00022
53,0.0003192,0.00218304,0.00085968,0.00462096,0.00051408,0.0207138,0.0002224
54,0.00032656,0.00220256,0.00086416,0.00464784,0.00051776,0.0212891,0.00021952
55,0.00032448,0.002188,0.00084656,0.0046448,0.00055136,0.0209872,0.0002216
56,0.00033024,0.00218816,0.00088192,0.00466512,0.00071104,0.0222398,0.0002192
57,0.00033072,0.002188,0.00086896,0.00468176,0.00052128,0.0226294,0.0002208
58,0.0003416,0.00217984,0.00085792,0.00472288,0.00049248,0.0232208,0.0002192
59,0.0003176,0.00219504,0.0008272,0.00472496,0.0005152,0.0244291,0.00022192
60,0.00033104,0.00217248,0.00082016,0.00474832,0.00051536,0.0259043,0.00022336
61,0.00033072,0.00218304,0.00086528,0.00477328,0.0006232,0.0268747,0.00021968
62,0.00033408,0.00218928,0.00091104,0.00477792,0.00059088,0.0273627,0.00022192
63,0.00031824,0.00221568,0.0007824,0.00477904,0.00051536,0.0287368,0.00022048
64,0.00033008,0.00220352,0.00083872,0.00478992,0.00052512,0.0289938,0.0002216
65,0.00033264,0.0021776,0.0007992,0.00479728,0.00050368,0.0294226,0.00022608
66,0.00032016,0.00219488,0.0008416,0.0048248,0.00070928,0.0288574,0.00021888
67,0.00033744,0.00217264,0.00078048,0.00489584,0.0005016,0.0296669,0.0002224
68,0.0003264,0.00217216,0.00087536,0.00487584,0.0005184,0.0305382,0.0002216
69,0.0003256,0.00217616,0.00077456,0.00492688,0.00051488,0.0301549,0.0002216
70,0.00032256,0.002196,0.00084656,0.0049032,0.00070496,0.031169,0.00021904
71,0.00032688,0.0021912,0.00083568,0.0049232,0.00050432,0.0325366,0.0002208
72,0.0003344,0.00219616,0.00082544,0.00499936,0.0005056,0.0334104,0.00021824
73,0.00032592,0.00219824,0.00081152,0.0050032,0.00051696,0.035272,0.0002192
74,0.00031952,0.00220272,0.0008432,0.005052,0.00070144,0.036605,0.0002184
75,0.00032816,0.0021992,0.00073904,0.00509008,0.00053264,0.0376694,0.00022
76,0.0003296,0.00219744,0.00085664,0.00512384,0.00056912,0.0386707,0.0002184
77,0.00032704,0.00219648,0.00090576,0.0051248,0.00070576,0.0396766,0.00022016
78,0.00033696,0.00218272,0.00080624,0.00521264,0.00051408,0.0404424,0.00022224
79,0.0003256,0.00219888,0.0008272,0.00522848,0.0004936,0.0398187,0.00021936
80,0.0003304,0.0021832,0.00090736,0.00528304,0.00050064,0.0406312,0.00021936
81,0.0003304,0.00220224,0.00091024,0.005336,0.0005848,0.0422019,0.00021776
82,0.00033248,0.00219248,0.00083936,0.0053384,0.00048992,0.042241,0.00022208
83,0.00031776,0.00219344,0.00078848,0.0054072,0.00051632,0.0415376,0.0002248
84,0.00032032,0.00219328,0.0009264,0.00543904,0.0007032,0.0430085,0.00021776
85,0.00033056,0.00221312,0.00081664,0.00550624,0.00051536,0.0434589,0.00022032
86,0.00032496,0.00220304,0.00076272,0.00555424,0.00049232,0.0437803,0.00022048
87,0.0003432,0.00220496,0.00092672,0.00558944,0.00065888,0.0439506,0.00021808
88,0.00032112,0.00220704,0.00079056,0.00565424,0.0005552,0.043124,0.00021936
