frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,1.936e-05,0.00105648,0.0004944,0.0012216,0.00037472,0.0049216,0.00010896
1,1.344e-05,0.0001416,0.0004936,0.00057136,0.00021152,0.00328384,7.328e-05
2,1.36e-05,9.888e-05,0.00033728,0.0004064,0.00019664,0.00315328,7.392e-05
3,1.232e-05,0.00010032,0.00033472,0.00040992,0.00016112,0.00291936,6.576e-05
4,1.264e-05,9.184e-05,0.00030832,0.00035984,0.00018384,0.0025536,6.512e-05
5,1.232e-05,9.104e-05,0.00030688,0.00036192,0.0001832,0.00247968,6.688e-05
6,1.232e-05,9.024e-05,0.00030128,0.00036288,0.00018768,0.00235904,6.64e-05
7,1.216e-05,8.832e-05,0.00029424,0.00035184,0.0001808,0.00230624,6.544e-05
8,1.232e-05,8.816e-05,0.00029264,0.0003496,0.00015696,0.00230112,6.592e-05
9,1.2e-05,8.784e-05,0.00029824,0.00035248,0.00015776,0.00220944,6.512e-05
10,1.2e-05,8.624e-05,0.00029744,0.00034576,0.00015568,0.00220464,6.592e-05
11,1.168e-05,8.72e-05,0.00029232,0.00034736,0.00015504,0.00224128,6.464e-05
12,1.152e-05,8.656e-05,0.00029024,0.00035248,0.0001784,0.00221248,6.448e-05
13,1.2e-05,8.464e-05,0.0002912,0.00034384,0.00017664,0.0022272,6.592e-05
14,1.168e-05,8.368e-05,0.00029344,0.0003448,0.00017648,0.0023552,6.416e-05
15,1.136e-05,8.512e-05,0.00028816,0.00034704,0.00017408,0.00237488,6.336e-05
16,1.136e-05,8.336e-05,0.00028608,0.00034016,0.00018112,0.00242032,6.272e-05
17,1.152e-05,8.304e-05,0.00028208,0.00034304,0.00017744,0.00251648,6.32e-05
18,1.136e-05,8.288e-05,0.00028432,0.00034336,0.00018208,0.00257088,6.416e-05
19,1.168e-05,8.288e-05,0.00028592,0.00034496,0.00019152,0.00261088,6.288e-05
20,1.152e-05,8.224e-05,0.00028704,0.00034704,0.00019264,0.00273088,6.416e-05
21,1.152e-05,8.272e-05,0.00028496,0.0003472,0.00018208,0.00281648,6.32e-05
22,1.152e-05,8.336e-05,0.00028512,0.00034912,0.00018256,0.00285584,6.304e-05
