-0.157706,6.13916,5.81418,0.976413,-0.000797255,-0.215909,0.000778451,1,-0.000172134
-1.80224,6.00254,3.5163,0.517164,-0.248176,-0.819115,0.132493,0.968715,-0.20985
-3.00977,5.50154,1.90977,0.242827,-0.435683,-0.866727,0.117537,0.9001,-0.419529
-5.97843,3.67017,-0.765734,0.581093,-0.362359,-0.728716,0.225918,0.932039,-0.283311
-7.56176,2.06518,-4.11465,0.882589,-0.324797,-0.339916,0.303095,0.945784,-0.116733
-8.07953,0.855484,-5.95467,0.882589,-0.324797,-0.339916,0.303095,0.945784,-0.116733
-7.82418,0.695855,-7.33661,0.868591,-0.408488,0.280512,0.38872,0.912764,0.125537
-6.65823,0.59693,-7.81232,-0.0436615,-0.531861,0.845705,-0.0274221,0.846831,0.531154
-4.97316,0.876365,-7.2962,-0.588845,-0.506221,0.630081,-0.345645,0.862404,0.36985
-4.12755,0.832291,-5.67338,-0.844735,-0.497572,0.197091,-0.484558,0.867423,0.113055
-2.80546,2.99575,-5.06859,-0.973055,-0.20924,0.0968608,-0.208211,0.977864,0.0207259
-1.05397,6.23513,-5.20531,-0.896811,-0.39934,0.190414,-0.390632,0.916803,0.0829402
0.23177,9.52203,-5.28196,-0.698581,-0.408488,0.587471,-0.312635,0.912764,0.26291
1.35402,11.4193,-3.44578,-0.754295,-0.540303,0.372978,-0.484328,0.841471,0.239487
2.51227,11.9419,-0.966157,-0.658534,-0.751806,-0.0334716,-0.750837,0.659384,-0.0381631
2.58632,13.9989,2.27408,-0.317883,-0.777573,-0.542522,-0.393098,0.628793,-0.67089
1.09539,15.2439,3.70196,-0.0395482,-0.751806,-0.658197,-0.0450915,0.659384,-0.750453
-2.23196,15.7334,3.90625,0.246482,-0.731689,-0.635513,0.264581,0.681638,-0.682178
-5.90216,18.4798,4.98885,0.331346,-0.745175,-0.578726,0.370254,0.666869,-0.646682
