frame,blit,drawSides,gBuffer,shading
118,4.352e-05,0.0104746,0.00157696,0.00040528
119,4.336e-05,0.0104891,0.00152096,0.00040832
120,4.352e-05,0.010499,0.001496,0.000412
121,4.352e-05,0.0105069,0.00146448,0.00040944
122,4.336e-05,0.0105166,0.00142432,0.0004112
123,4.384e-05,0.0105256,0.00140944,0.00039968
124,4.336e-05,0.0105371,0.00141744,0.00041152
125,4.304e-05,0.0105451,0.0014088,0.00041168
126,4.288e-05,0.010551,0.001428,0.00040768
127,4.288e-05,0.0105482,0.00142736,0.00041536
128,4.288e-05,0.010555,0.00142992,0.00041024
129,4.208e-05,0.0105578,0.00143312,0.0004136
130,4.208e-05,0.0105258,0.00144144,0.00041232
131,4.192e-05,0.0105171,0.00144096,0.00040816
132,4.192e-05,0.0105274,0.0014568,0.00041184
133,4.144e-05,0.010536,0.00146432,0.00041296
134,4.128e-05,0.0105498,0.00147296,0.00040896
135,4.08e-05,0.0105691,0.00147648,0.00041312
136,4.08e-05,0.0105851,0.00145536,0.00040816
137,4.064e-05,0.0105925,0.00148992,0.00041712
138,4.048e-05,0.0105891,0.00149632,0.0004104
139,4e-05,0.0105784,0.00148928,0.00041536
140,3.968e-05,0.0105568,0.00149184,0.0004112
141,3.936e-05,0.0105789,0.00148144,0.00041408
142,3.904e-05,0.0105955,0.00145488,0.00041616
143,3.888e-05,0.0106176,0.001468,0.00041472
144,3.792e-05,0.0106354,0.00147232,0.00041968
145,3.728e-05,0.0106747,0.00146192,0.00041616
146,3.664e-05,0.0107131,0.00145472,0.00039856
147,3.584e-05,0.010743,0.00145872,0.0004168
148,3.456e-05,0.010777,0.00143168,0.00041376
149,3.344e-05,0.0108374,0.00146432,0.00041488
150,3.232e-05,0.0108781,0.00146176,0.00041488
151,3.12e-05,0.0109134,0.00147008,0.00041488
152,3.008e-05,0.0109442,0.00145904,0.00041744
153,2.944e-05,0.0110003,0.00145584,0.00042112
154,2.88e-05,0.0110539,0.00146112,0.00042096
155,2.816e-05,0.0110986,0.001452,0.0004176
156,2.752e-05,0.0111235,0.00148752,0.0004216
157,2.704e-05,0.0111078,0.00148944,0.00042224
158,2.592e-05,0.011115,0.00148176,0.00042128
159,2.464e-05,0.0111136,0.0015,0.00042
160,2.336e-05,0.0111856,0.00149888,0.00041456
161,2.224e-05,0.0112288,0.00149888,0.0004216
