frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,9.504e-05,0.0010128,0.00107584,0.00124208,0.00280448,0.0003968
1,7.36e-05,0.00063072,0.00106832,0.0012424,0.00155664,0.00039552
2,5.264e-05,0.0004584,0.00077744,0.00088992,0.00134064,0.0002688
3,5.264e-05,0.00045488,0.00077952,0.0009024,0.00117104,0.00026848
4,5.872e-05,0.00043872,0.00078112,0.0009176,0.00117632,0.00024416
5,4.256e-05,0.00038816,0.00065312,0.00076688,0.00103568,0.00021552
6,4.208e-05,0.00040976,0.00065696,0.0007696,0.00104464,0.00020672
7,4.672e-05,0.00039952,0.00065312,0.00075584,0.00103072,0.00021264
8,4.528e-05,0.0003768,0.0006216,0.00068816,0.00100544,0.00020752
9,4.464e-05,0.0003984,0.00061552,0.00065264,0.00099952,0.00020768
10,4.496e-05,0.0005256,0.00061104,0.00063504,0.00101616,0.00020704
11,3.888e-05,0.00041456,0.00059104,0.00059792,0.00099264,0.0002024
12,4.368e-05,0.00042464,0.00059296,0.00058736,0.00097808,0.0002056
13,3.984e-05,0.00041424,0.00058832,0.00058832,0.00097872,0.000204
14,4.288e-05,0.00040992,0.00058464,0.00058624,0.00099216,0.0002048
15,3.824e-05,0.00040768,0.00057936,0.00057312,0.00097136,0.00020112
16,4.256e-05,0.00055616,0.00058192,0.00057424,0.00099216,0.00020736
17,3.776e-05,0.00037728,0.00057424,0.000576,0.0010016,0.00020256
18,3.584e-05,0.00041136,0.00057008,0.00056,0.00101424,0.00020176
19,4.112e-05,0.000516,0.00057008,0.00057744,0.00098656,0.00020576
20,4.16e-05,0.00039904,0.00056976,0.00058464,0.00100768,0.00020528
21,3.6e-05,0.00062736,0.00057088,0.00062576,0.00102656,0.00020112
22,4.096e-05,0.00049568,0.00057712,0.00065184,0.0010032,0.00020608
23,4.016e-05,0.000524,0.00057088,0.00070032,0.00099072,0.00020672
24,4e-05,0.0005296,0.00057344,0.00072832,0.00100784,0.00020528
25,3.488e-05,0.0005288,0.00057872,0.00075168,0.0010264,0.0002008
26,3.984e-05,0.0005504,0.00058384,0.00080304,0.00101776,0.00020672
27,3.984e-05,0.0005008,0.00058368,0.00084832,0.00102944,0.00020784
28,4.016e-05,0.0003792,0.00058048,0.00087872,0.00100496,0.00020752
29,4.016e-05,0.00051152,0.00058544,0.00092272,0.00099168,0.00020592
