frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.00015808,0.00099856,0.001292,0.0013456,0.00428864,0.0004888
1,0.00010528,0.00064528,0.00093584,0.00100768,0.00305104,0.00034592
2,0.0001048,0.00045392,0.0009248,0.00092704,0.00218448,0.00034384
3,8.496e-05,0.0004464,0.0007688,0.0008528,0.00217328,0.00026304
4,8.048e-05,0.00040128,0.00076608,0.00078464,0.00188448,0.00026624
5,8.272e-05,0.00037184,0.00076864,0.00077168,0.00188896,0.00027152
6,8.208e-05,0.00040816,0.0007352,0.00077904,0.00185552,0.00025424
7,8.336e-05,0.00041472,0.00073504,0.00080144,0.00183344,0.00025952
8,7.888e-05,0.0003984,0.00071456,0.0007952,0.00184448,0.00025264
9,7.824e-05,0.00039504,0.00071456,0.00082208,0.00181504,0.0002496
10,7.824e-05,0.00041488,0.00071936,0.0008536,0.0018296,0.0002464
11,7.248e-05,0.00052832,0.00070368,0.00087168,0.00183856,0.00024144
12,7.12e-05,0.00051968,0.00070304,0.00090528,0.00184,0.00024688
13,6.928e-05,0.00040112,0.00069296,0.00091568,0.00185584,0.00024608
14,7.328e-05,0.00039168,0.00069488,0.00094992,0.00185216,0.00024192
15,7.328e-05,0.00050992,0.00069936,0.00096992,0.00186928,0.00023744
16,7.296e-05,0.00039504,0.00069936,0.00098992,0.00188112,0.00024544
17,7.2e-05,0.00053072,0.0007024,0.00098,0.00189808,0.00024512
18,7.088e-05,0.0004192,0.00070384,0.00101536,0.00190032,0.00024432
19,7.312e-05,0.00052352,0.00070496,0.00102976,0.00191856,0.00024176
20,7.376e-05,0.00053072,0.0007048,0.00106256,0.00194176,0.00023856
21,7.28e-05,0.00053744,0.00070592,0.00107584,0.00194128,0.00024304
22,7.184e-05,0.00040416,0.0007072,0.00108432,0.00193984,0.00023728
23,7.264e-05,0.0004072,0.00070688,0.00111344,0.00194736,0.00024352
24,7.232e-05,0.00041088,0.00071024,0.00114816,0.00195056,0.00024352
25,6.72e-05,0.00051632,0.00070896,0.00113376,0.00194624,0.00024656
26,7.072e-05,0.00055104,0.00071344,0.00117456,0.00195856,0.00024272
27,7.184e-05,0.0005488,0.00070816,0.00120352,0.00196976,0.00024416
28,7.232e-05,0.00053168,0.00071152,0.00123168,0.00197424,0.00024736
29,7.12e-05,0.0005624,0.00070912,0.00125488,0.00198304,0.00024304
30,6.544e-05,0.00038784,0.0007104,0.00127616,0.00199888,0.00023776
31,7.04e-05,0.00040352,0.00071408,0.00130768,0.00199344,0.00024416
32,6.896e-05,0.00054128,0.00071712,0.00134112,0.00200592,0.00024384
33,6.496e-05,0.00041344,0.00072288,0.00139248,0.0020096,0.00024768
34,6.96e-05,0.00039952,0.00072128,0.00141072,0.00202976,0.00024032
35,6.4e-05,0.0004,0.00072288,0.00145088,0.00201744,0.00024368
36,6.784e-05,0.00040608,0.00072624,0.00148672,0.00203472,0.0002448
37,6.768e-05,0.00041216,0.00073136,0.00149984,0.00204864,0.00024352
38,6.672e-05,0.00039392,0.00073248,0.0015176,0.00206368,0.0002424
39,6.576e-05,0.00055232,0.00073728,0.00149216,0.0020536,0.00023968
40,6.624e-05,0.00054112,0.0007344,0.00146432,0.00202592,0.00024176
41,6.752e-05,0.00049936,0.00073088,0.0014408,0.00198432,0.00023904
42,7.104e-05,0.00052864,0.0007304,0.00140064,0.0019336,0.00024544
43,6.56e-05,0.0003976,0.000724,0.00133152,0.00192,0.00024432
44,7.056e-05,0.00054848,0.00072208,0.00130368,0.00189712,0.00024336
45,7.024e-05,0.00054496,0.00071648,0.00125984,0.00189376,0.00024336
46,6.96e-05,0.00052432,0.00070976,0.00124112,0.00186752,0.00024752
47,6.496e-05,0.00038704,0.0007008,0.0012192,0.00181584,0.0002416
48,6.736e-05,0.000508,0.00070224,0.0012336,0.00185728,0.00024304
49,6.88e-05,0.00041632,0.0007064,0.00123488,0.00186704,0.00023536
50,6.896e-05,0.00039888,0.00070304,0.00123792,0.00187664,0.00023952
51,7.28e-05,0.0005544,0.00070848,0.00125056,0.00188464,0.00023808
52,7.28e-05,0.00042128,0.00071072,0.00128416,0.00185344,0.00024272
53,7.2e-05,0.00040528,0.00070592,0.00128512,0.00186048,0.00024496
54,7.28e-05,0.0004032,0.00070784,0.00131072,0.00185088,0.00024048
55,7.376e-05,0.00053792,0.00070464,0.00131088,0.00185248,0.00024272
56,7.28e-05,0.00041824,0.00070704,0.00134416,0.0018544,0.00024544
57,6.928e-05,0.00037616,0.000708,0.00133376,0.0018624,0.0002384
58,7.296e-05,0.0004016,0.000716,0.001356,0.00186528,0.00024144
59,7.232e-05,0.00041696,0.00071568,0.00137648,0.00186992,0.00024432
60,7.104e-05,0.00037952,0.00071472,0.00138704,0.00185488,0.00024064
61,7.136e-05,0.00040768,0.00071552,0.00140512,0.00186944,0.00023856
62,7.248e-05,0.0004272,0.00072288,0.00143632,0.00187568,0.00024288
63,7.264e-05,0.00041984,0.00072016,0.00144704,0.00188704,0.00023984
64,7.248e-05,0.00055024,0.00072304,0.00147616,0.00191376,0.00024416
65,7.232e-05,0.00054976,0.00072528,0.00148976,0.0019056,0.00024384
66,7.184e-05,0.0003904,0.00072736,0.00151248,0.0019232,0.00024512
67,7.2e-05,0.00055456,0.0007288,0.0015392,0.0019504,0.00024288
68,7.248e-05,0.00041488,0.00072912,0.0015712,0.00196144,0.00024528
69,6.736e-05,0.00036512,0.00073632,0.00159248,0.0019856,0.00024576
70,7.168e-05,0.000388,0.00073712,0.00160704,0.00200272,0.00024288
71,7.056e-05,0.00039344,0.00073952,0.00165248,0.00204272,0.00023776
72,7.168e-05,0.00040112,0.00074176,0.0016712,0.00204704,0.00024304
73,6.992e-05,0.00038656,0.00074592,0.00168224,0.00207072,0.00024288
74,6.928e-05,0.00055584,0.000744,0.00171088,0.002112,0.0002488
75,6.784e-05,0.00041664,0.00074384,0.00173952,0.00211776,0.00024416
76,7.072e-05,0.00040608,0.00075456,0.00176768,0.0021392,0.000244
77,7.056e-05,0.00040176,0.00074816,0.00175504,0.00211408,0.000248
78,7.072e-05,0.00040576,0.00073904,0.00177088,0.00208672,0.00024368
79,7.024e-05,0.0004144,0.00074112,0.001784,0.00205776,0.000244
80,6.512e-05,0.00041296,0.00073456,0.00178464,0.00206464,0.00024096
81,6.976e-05,0.0005456,0.00072944,0.00178256,0.0020464,0.0002424
82,6.656e-05,0.0003752,0.00072976,0.00178896,0.00208832,0.00023696
83,7.088e-05,0.00039696,0.000732,0.00180512,0.00209296,0.00024064
84,6.976e-05,0.00039664,0.00072944,0.001812,0.00209552,0.00024944
85,6.736e-05,0.00037104,0.00073376,0.00183408,0.00209232,0.00024112
86,6.336e-05,0.00039728,0.00072656,0.00186192,0.0021488,0.00024416
87,7.04e-05,0.00041056,0.00072816,0.0018368,0.00221232,0.00024096
88,7.216e-05,0.00054064,0.00072912,0.00184928,0.00224032,0.00024272
89,2.816e-05,0.00041696,0.00072288,0.00181408,0.00230736,0.0002544
90,2.304e-05,0.00053008,0.00072016,0.00185408,0.0021472,0.00025712
91,6.976e-05,0.00038736,0.00070512,0.00187696,0.00187024,0.00024384
92,7.04e-05,0.00051056,0.0006944,0.00188112,0.00172064,0.00024416
93,7.056e-05,0.00052944,0.00068912,0.00190176,0.0017048,0.00024576
94,7.152e-05,0.00040064,0.00069424,0.00191792,0.0017032,0.00024384
95,6.976e-05,0.00039936,0.00069536,0.00190448,0.00169936,0.00024288
96,6.96e-05,0.00039344,0.000692,0.00193968,0.00170496,0.00023664
97,7.008e-05,0.0005424,0.0006992,0.00189376,0.00170176,0.00024624
98,6.496e-05,0.00037616,0.0006936,0.00195024,0.00168512,0.0002432
99,6.976e-05,0.00038576,0.0006904,0.00191552,0.00168016,0.0002448
100,7.104e-05,0.000384,0.00069328,0.00194848,0.00168448,0.00024368
101,7.024e-05,0.00037536,0.0006896,0.00197984,0.001692,0.00024464
102,6.88e-05,0.00040256,0.00068976,0.00200704,0.00168896,0.00023872
103,6.368e-05,0.00043216,0.00069264,0.00205664,0.00166656,0.00023984
104,6.832e-05,0.00037856,0.00069056,0.00210432,0.0016792,0.00024704
105,6.336e-05,0.00039216,0.00069312,0.00214736,0.00167232,0.00023888
106,6.816e-05,0.00038256,0.00069344,0.00218576,0.00165936,0.0002448
107,6.352e-05,0.0003936,0.00068912,0.00222688,0.00165472,0.00024432
108,6.704e-05,0.00039568,0.00068576,0.00228432,0.00164464,0.00024272
109,6.144e-05,0.0004024,0.00068688,0.00235328,0.00163328,0.00024672
110,6.672e-05,0.00039088,0.00068512,0.00241872,0.00164096,0.00023696
111,6.112e-05,0.00041088,0.00068736,0.00249792,0.00163744,0.00024432
112,6.56e-05,0.00041632,0.00069088,0.002552,0.00163776,0.0002464
113,6.064e-05,0.00039168,0.00068624,0.00266304,0.00163232,0.00024528
114,6.448e-05,0.00041984,0.00069072,0.002716,0.00159552,0.00024608
115,6.416e-05,0.0004984,0.0006864,0.00284112,0.00156832,0.0002432
116,6.048e-05,0.00041008,0.0006904,0.00288624,0.001528,0.00024288
117,6.496e-05,0.0005448,0.00069136,0.0029576,0.00149696,0.00023936
118,6.464e-05,0.00055184,0.00069056,0.00304,0.0014888,0.0002416
119,6.352e-05,0.00040688,0.00069584,0.00313072,0.0014832,0.00023952
120,6.464e-05,0.0005048,0.00070224,0.00323216,0.0014952,0.00024464
121,6.24e-05,0.0004072,0.00070288,0.0033224,0.00150656,0.00024496
122,6.336e-05,0.00040608,0.0007032,0.0034056,0.00151792,0.00024608
123,6.112e-05,0.00035344,0.00070576,0.00348496,0.00151872,0.0002456
124,6.32e-05,0.00038496,0.00070672,0.00357568,0.00153616,0.00024688
125,5.744e-05,0.00040112,0.00071248,0.00365712,0.00154176,0.00023888
126,6.08e-05,0.00039616,0.0007136,0.00376528,0.00155712,0.00024784
127,7.616e-05,0.00070496,0.0006904,0.00386992,0.00154944,0.00025072
128,6.304e-05,0.00053728,0.00069216,0.00393664,0.001592,0.00024656
129,6.032e-05,0.00036032,0.0006944,0.0040344,0.00156416,0.00024736
130,5.696e-05,0.00041616,0.00069952,0.00409328,0.001572,0.00024672
131,6.064e-05,0.00042992,0.0006928,0.00418528,0.00156368,0.00024608
132,5.856e-05,0.00040016,0.00069536,0.00427216,0.00157664,0.00024384
133,5.424e-05,0.00038,0.0006992,0.00436528,0.00157648,0.00024592
134,5.792e-05,0.00041008,0.00069312,0.004448,0.00157456,0.00024608
135,5.776e-05,0.00038608,0.00069008,0.00454304,0.00157392,0.00024144
136,5.68e-05,0.0003968,0.00068752,0.00460048,0.00157056,0.00024624
137,5.68e-05,0.0003936,0.00068624,0.00465552,0.0015792,0.0002448
138,5.52e-05,0.00039376,0.000688,0.00468656,0.00157536,0.0002464
139,5.504e-05,0.00039712,0.00068288,0.00474896,0.00157552,0.0002504
140,5.328e-05,0.00039696,0.0006848,0.00477184,0.00157888,0.00024576
141,5.232e-05,0.00038816,0.00068336,0.00476928,0.0016048,0.00024256
142,5.184e-05,0.00039984,0.00068512,0.00477168,0.00159872,0.00024064
143,4.592e-05,0.0003936,0.00068496,0.00472928,0.00160496,0.00024384
144,4.464e-05,0.00040032,0.00068528,0.00469408,0.00161408,0.00024576
145,4.736e-05,0.00040368,0.00068496,0.00465248,0.00161728,0.0002464
146,4.704e-05,0.000408,0.0006864,0.00457696,0.00162768,0.00024096
