frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,5.76e-05,0.00077216,0.0008664,0.0036896,0.00080096,0.0190515,0.00022896
1,4.384e-05,0.000548,0.00086832,0.00180784,0.0005304,0.0158795,0.00021504
2,4.368e-05,0.00056896,0.00088624,0.00175856,0.000536,0.0152754,0.00021424
3,4.448e-05,0.00050896,0.00084528,0.001708,0.00053328,0.0156493,0.00021504
4,4.464e-05,0.00051104,0.00094576,0.00169952,0.00052352,0.0159771,0.00021376
5,4.528e-05,0.00055568,0.00092496,0.00171824,0.00051488,0.016292,0.00021312
6,4.368e-05,0.0005096,0.00080096,0.00171968,0.00062016,0.016487,0.00021568
7,4.512e-05,0.00050896,0.0008928,0.0017384,0.00054,0.0162784,0.00021776
8,4.384e-05,0.00050976,0.00092144,0.00174704,0.00053504,0.0167453,0.0002144
9,4.464e-05,0.00050848,0.00081632,0.0017376,0.00052656,0.0168976,0.00021488
10,4.496e-05,0.00055376,0.00081408,0.00174272,0.00054352,0.0170018,0.0002168
11,4.352e-05,0.0005088,0.00080832,0.00174144,0.00055088,0.0169754,0.00021696
12,4.464e-05,0.00055408,0.00087296,0.00173568,0.00053904,0.0170563,0.00021664
13,4.336e-05,0.00050896,0.00082096,0.0017408,0.00051824,0.0171182,0.00021488
14,4.448e-05,0.0005536,0.00080736,0.00173712,0.00063664,0.0176774,0.00021392
15,4.528e-05,0.00055168,0.00088192,0.00173568,0.00053472,0.017397,0.00021504
16,4.448e-05,0.00055392,0.0009112,0.00174272,0.00054288,0.0174451,0.00021488
17,4.496e-05,0.00050912,0.000808,0.00174816,0.00051808,0.0173082,0.00021664
18,4.32e-05,0.00055248,0.00089376,0.00176512,0.00053824,0.0173498,0.00021456
19,4.464e-05,0.00050864,0.00086368,0.00176128,0.00049264,0.0171782,0.00021312
20,4.512e-05,0.00050768,0.0008752,0.001776,0.00054432,0.0172699,0.0002152
21,4.4e-05,0.00050704,0.00084784,0.00178336,0.0005248,0.0174674,0.0002176
22,4.384e-05,0.00050832,0.00083472,0.00178544,0.00060736,0.0176995,0.00021424
23,4.464e-05,0.00055344,0.00087536,0.00178768,0.00053808,0.0174581,0.00021344
24,4.464e-05,0.00055568,0.00088528,0.00178432,0.0005368,0.0174941,0.00021392
25,5.024e-05,0.0005096,0.00081536,0.00178912,0.00050112,0.0186442,0.000224
26,4.432e-05,0.00050912,0.00096272,0.00179008,0.00052608,0.0188066,0.0002152
27,4.464e-05,0.00055296,0.00077632,0.00178864,0.00053296,0.0192888,0.0002136
28,4.416e-05,0.000508,0.00087568,0.0017928,0.00051584,0.0196678,0.0002184
29,4.496e-05,0.00050704,0.00085536,0.001796,0.0006464,0.0202018,0.00021328
30,4.528e-05,0.0005088,0.00087696,0.00180848,0.00050704,0.0205746,0.0002176
31,4.448e-05,0.00050752,0.000852,0.00179488,0.00051056,0.021193,0.000216
32,4.384e-05,0.00050768,0.00085248,0.00178496,0.00053312,0.0218,0.00021616
33,4.384e-05,0.00050752,0.00080016,0.00177216,0.0005152,0.0221611,0.00021408
34,4.512e-05,0.00050704,0.00091184,0.00178432,0.000508,0.0225886,0.0002152
35,4.48e-05,0.0005536,0.00078528,0.00178928,0.00070272,0.0230482,0.00021664
36,4.496e-05,0.00050624,0.00088368,0.00178048,0.00051104,0.023239,0.00021456
37,4.496e-05,0.00055328,0.00084192,0.00176128,0.0005336,0.0236362,0.0002168
38,4.448e-05,0.00055408,0.00088048,0.00176208,0.00053408,0.0241299,0.00021632
39,4.544e-05,0.00050784,0.0008536,0.00174752,0.0005312,0.0244146,0.00021392
40,4.528e-05,0.0005064,0.00080432,0.0017368,0.00052544,0.0247462,0.00021488
41,4.56e-05,0.00050832,0.0008528,0.0017416,0.00070704,0.0251555,0.00021424
42,4.496e-05,0.00050656,0.00084368,0.00172592,0.00053248,0.0253915,0.0002168
43,4.592e-05,0.00050512,0.00089856,0.00173168,0.00056336,0.0251187,0.00021616
44,4.368e-05,0.00055088,0.00094848,0.00174592,0.00053616,0.0250931,0.00021392
45,4.544e-05,0.00055008,0.000848,0.00174544,0.00054224,0.0251131,0.00021968
46,4.432e-05,0.00050432,0.00083632,0.00174096,0.0005104,0.025384,0.000216
47,4.512e-05,0.00050592,0.00082944,0.0017296,0.0006416,0.0255608,0.0002152
48,4.544e-05,0.00055088,0.00081664,0.00176048,0.00051456,0.0257443,0.00021296
49,4.624e-05,0.00050416,0.00089616,0.0017984,0.00053504,0.0261306,0.00021744
50,4.4e-05,0.00050432,0.0008768,0.00184688,0.00051776,0.0265138,0.00021456
51,4.464e-05,0.00055232,0.00086192,0.0018696,0.00052864,0.0266837,0.000216
52,4.368e-05,0.00050416,0.00083056,0.00187104,0.0006656,0.0269595,0.0002152
53,4.496e-05,0.00050496,0.00087008,0.00184816,0.0005416,0.0271424,0.00021728
54,4.496e-05,0.00050528,0.00091376,0.00185072,0.00053152,0.0272373,0.00021744
55,4.512e-05,0.00050464,0.0008432,0.00183584,0.00054272,0.0276315,0.00022096
56,4.512e-05,0.00055088,0.00093552,0.00183792,0.00053184,0.0277562,0.00021776
57,4.432e-05,0.00050608,0.00087184,0.00183232,0.00068352,0.0276682,0.00021584
58,4.432e-05,0.0005056,0.00087392,0.00184624,0.00054624,0.0278622,0.00021664
59,4.416e-05,0.0005504,0.00086816,0.00182448,0.0005336,0.0279198,0.00021488
60,4.512e-05,0.00050736,0.00087072,0.00182496,0.00052704,0.0281707,0.0002152
61,4.496e-05,0.00050768,0.00086816,0.0018336,0.00051904,0.0281574,0.0002168
62,4.448e-05,0.00050576,0.00094464,0.00181696,0.000552,0.0281048,0.00021456
63,4.368e-05,0.00050384,0.00087776,0.00182384,0.00062976,0.0282978,0.00021808
64,4.432e-05,0.00050464,0.00089824,0.0018272,0.0005248,0.0283968,0.0002144
65,4.464e-05,0.00055264,0.0008648,0.00180784,0.00051616,0.028567,0.00021536
66,4.48e-05,0.00050448,0.0009528,0.00179216,0.00052096,0.0286963,0.00021552
67,4.512e-05,0.00050448,0.00081344,0.00180432,0.00052816,0.0286877,0.00021536
68,4.528e-05,0.00054944,0.00087104,0.00180032,0.00063232,0.0289074,0.00021552
69,4.592e-05,0.00054976,0.00096832,0.00181504,0.00049856,0.029087,0.00021376
70,4.528e-05,0.00055024,0.00088992,0.00177888,0.00052096,0.0292499,0.0002152
71,4.384e-05,0.00050608,0.00084368,0.00175792,0.0005208,0.029528,0.00021504
72,4.432e-05,0.00050336,0.00088672,0.00175328,0.00065536,0.0296635,0.00021488
73,4.464e-05,0.00050528,0.00089408,0.00175632,0.00051264,0.029772,0.00021344
74,4.528e-05,0.00050592,0.00086976,0.00171408,0.0005864,0.029957,0.00021552
75,4.544e-05,0.0005512,0.00085728,0.00168416,0.00052256,0.0298629,0.00021456
76,4.528e-05,0.00055088,0.00087232,0.00165456,0.00052544,0.029807,0.00021312
77,4.432e-05,0.00050368,0.0008352,0.00162192,0.00069984,0.0296955,0.0002144
78,4.432e-05,0.0005528,0.00089088,0.00157568,0.00054912,0.0299666,0.00021264
79,4.416e-05,0.00050432,0.0008992,0.00157392,0.00052272,0.0299893,0.00021344
80,4.432e-05,0.00050608,0.00088096,0.00157136,0.00051184,0.0298549,0.00021376
81,4.432e-05,0.000552,0.00088944,0.00156896,0.00050816,0.0295914,0.00021472
82,4.48e-05,0.00055424,0.00087744,0.0015624,0.00069856,0.0294349,0.00021344
83,4.464e-05,0.00050624,0.00084176,0.00157536,0.0005232,0.0295211,0.0002136
84,4.512e-05,0.00050576,0.00087664,0.00154976,0.0005176,0.0295584,0.00021648
85,4.448e-05,0.00050608,0.00086144,0.00152336,0.00052192,0.0294771,0.0002144
