frame,blit,drawSides,gBuffer,shading
118,4.368e-05,0.0132059,0.0015608,0.0004096
119,4.368e-05,0.0132165,0.00152112,0.00040752
120,4.336e-05,0.0132179,0.00147776,0.00040736
121,4.336e-05,0.0132218,0.00144512,0.00040528
122,4.336e-05,0.013248,0.00140144,0.00040784
123,4.352e-05,0.013236,0.00139648,0.00040992
124,4.336e-05,0.0132534,0.00139472,0.00041088
125,4.304e-05,0.0132461,0.00140512,0.00040704
126,4.272e-05,0.013265,0.00141328,0.0004096
127,4.272e-05,0.0132522,0.00140576,0.00041008
128,4.24e-05,0.0132696,0.00140976,0.00040912
129,4.24e-05,0.0132579,0.00142128,0.0004072
130,4.176e-05,0.0132462,0.00141552,0.000408
131,4.176e-05,0.0132309,0.00142672,0.0004088
132,4.144e-05,0.0132366,0.001432,0.00040416
133,4.144e-05,0.0132459,0.00144528,0.00040928
134,4.128e-05,0.0132536,0.00145456,0.00039424
135,4.096e-05,0.0132723,0.00145792,0.00040832
136,4.096e-05,0.0132803,0.0014672,0.00039568
137,4.048e-05,0.0132864,0.00146912,0.00040928
138,4.032e-05,0.0132899,0.00147248,0.00039856
139,4.016e-05,0.0132802,0.0014696,0.00041168
140,4e-05,0.0132582,0.0014672,0.00040176
141,3.936e-05,0.0132741,0.00147104,0.00041216
142,3.92e-05,0.0132891,0.0014624,0.00040432
143,3.888e-05,0.0133029,0.00145456,0.00040928
144,3.824e-05,0.0133138,0.00145248,0.0004048
145,3.728e-05,0.0133403,0.00143808,0.00041408
146,3.68e-05,0.0133771,0.00143328,0.00040448
147,3.568e-05,0.0133955,0.0014296,0.00041376
148,3.488e-05,0.0134326,0.0014384,0.0004008
149,3.312e-05,0.0134749,0.00144064,0.00040256
150,3.248e-05,0.0135046,0.00143824,0.00039856
151,3.104e-05,0.0135334,0.0014336,0.00041776
152,3.008e-05,0.0135802,0.00143424,0.00041904
153,2.944e-05,0.0135861,0.00143216,0.00041696
154,2.896e-05,0.0136546,0.00143232,0.00041952
155,2.816e-05,0.0136877,0.00144144,0.00041472
156,2.752e-05,0.0137014,0.0014608,0.00041824
157,2.688e-05,0.0137062,0.00146784,0.00041904
158,2.592e-05,0.013717,0.0014648,0.00041952
159,2.512e-05,0.0137515,0.00147392,0.00041744
160,2.352e-05,0.0137922,0.00148016,0.0004176
161,2.224e-05,0.0138307,0.00146992,0.00041824
162,2.064e-05,0.0138888,0.00147328,0.0004224
163,1.936e-05,0.0139714,0.00148688,0.00042
164,1.872e-05,0.0140704,0.00148928,0.0004256
165,1.776e-05,0.0141781,0.00150256,0.00042416
166,1.744e-05,0.0143125,0.00150272,0.00042304
167,1.696e-05,0.0144709,0.00153504,0.00042576
168,1.664e-05,0.0145678,0.00156736,0.00042496
169,1.712e-05,0.0145536,0.00158544,0.00042208
170,1.696e-05,0.0144005,0.0016016,0.00042416
171,3.824e-05,0.0141939,0.001592,0.00041376
172,3.808e-05,0.013993,0.001628,0.00041216
173,3.856e-05,0.0139221,0.00163008,0.00041024
174,3.888e-05,0.0139133,0.00162256,0.00040688
175,3.872e-05,0.0139605,0.0016208,0.00041216
176,3.824e-05,0.014027,0.00159776,0.00041264
177,3.872e-05,0.0140902,0.0015544,0.00041008
178,3.824e-05,0.0141453,0.00150448,0.00041072
179,2.464e-05,0.0141718,0.00146176,0.0004208
180,2.32e-05,0.0141806,0.00144304,0.00042256
181,2.448e-05,0.0141962,0.0014344,0.00042032
182,2.352e-05,0.0141475,0.00141696,0.00041968
183,2.224e-05,0.0141216,0.00141168,0.00042288
184,3.808e-05,0.0140464,0.00141552,0.00041248
185,2.272e-05,0.0139456,0.0014296,0.00042144
186,1.936e-05,0.0138896,0.00143344,0.0004232
187,1.856e-05,0.0138245,0.0014512,0.00042176
