frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,4.448e-05,0.00144144,0.0010096,0.00039024,0.00140272,8.992e-05
1,4.064e-05,0.00054576,0.0010016,0.0004,0.00105616,8.768e-05
2,3.008e-05,0.00058256,0.0008256,0.000396,0.00104,6.032e-05
3,2.96e-05,0.0004792,0.00082064,0.0002952,0.00072352,6.272e-05
4,2.832e-05,0.00048336,0.0008136,0.00031392,0.00072048,6.16e-05
5,3.488e-05,0.0004008,0.00081632,0.0003416,0.00071664,6.144e-05
6,2.64e-05,0.00047456,0.00081808,0.00032336,0.00074128,5.728e-05
7,2.656e-05,0.00044304,0.00082272,0.00027952,0.00064544,5.712e-05
8,2.624e-05,0.00045744,0.00081744,0.00027088,0.0006432,5.68e-05
9,2.64e-05,0.00044,0.000824,0.00027472,0.0006472,5.872e-05
10,2.576e-05,0.00045712,0.00081872,0.000272,0.00065728,5.68e-05
11,2.4e-05,0.00038336,0.00082256,0.00026224,0.0006664,5.92e-05
12,2.496e-05,0.00040288,0.0008264,0.00026384,0.00070944,5.648e-05
13,2.24e-05,0.0004416,0.00083232,0.0002512,0.0006768,5.728e-05
14,1.936e-05,0.00042128,0.00082912,0.00023552,0.00068624,5.792e-05
15,1.632e-05,0.00043024,0.0008416,0.00023776,0.00071248,5.664e-05
16,1.648e-05,0.00044528,0.00084096,0.00023696,0.00072688,5.616e-05
17,2e-05,0.0003808,0.0008352,0.00023664,0.00070656,5.648e-05
18,2.144e-05,0.00040016,0.00084512,0.00023376,0.00066816,5.744e-05
19,2.032e-05,0.00044288,0.00083808,0.00023184,0.00065728,5.728e-05
20,2.208e-05,0.00045648,0.00083024,0.00023248,0.0006528,5.488e-05
21,1.84e-05,0.00037264,0.00084592,0.00024208,0.00065696,5.728e-05
22,2.048e-05,0.00045216,0.00084896,0.00024496,0.00065632,5.728e-05
23,2.064e-05,0.00038048,0.00085296,0.00024656,0.000664,5.472e-05
24,1.936e-05,0.00041008,0.00085904,0.00025424,0.00064272,5.488e-05
25,2.08e-05,0.0004096,0.00085696,0.0002624,0.00063392,5.52e-05
26,1.968e-05,0.00044704,0.00085024,0.00027184,0.00063312,5.408e-05
27,1.904e-05,0.00043104,0.00085696,0.00027872,0.00062768,5.648e-05
28,1.792e-05,0.00041696,0.00085104,0.00027856,0.00064272,5.552e-05
29,1.776e-05,0.00042416,0.00085616,0.00028848,0.0006456,5.616e-05
30,1.792e-05,0.00044176,0.00085856,0.0002872,0.0006888,5.568e-05
