frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.0006024,0.00081392,0.00010304,0.00012768,0.0106787,0.00045968
1,0.00056016,0.00034992,0.00010032,7.2e-05,0.0059368,0.0004456
2,0.00040096,0.0002712,7.52e-05,5.024e-05,0.00405408,0.00032624
3,0.0003928,0.00026256,7.552e-05,5.136e-05,0.0039432,0.00031552
4,0.00032432,0.00022544,6.528e-05,4.656e-05,0.00345568,0.00025504
5,0.00032528,0.0002448,6.48e-05,4.592e-05,0.00339072,0.0002488
6,0.00030256,0.00042688,6.256e-05,4.304e-05,0.00334064,0.00023168
7,0.00029808,0.00047328,6.192e-05,4.144e-05,0.00326976,0.00024176
8,0.00028336,0.00025312,6.064e-05,4.192e-05,0.00328432,0.00022784
9,0.00029504,0.00025104,6.064e-05,4.128e-05,0.00319984,0.00022448
10,0.00029168,0.00041664,6.08e-05,4.032e-05,0.0032176,0.000228
11,0.00028016,0.00024032,6e-05,4.032e-05,0.00318736,0.00022112
12,0.00027888,0.0004336,6.064e-05,4.096e-05,0.0031856,0.0002192
13,0.00027584,0.00039744,6e-05,3.952e-05,0.0031752,0.00020832
14,0.00027232,0.00041088,5.968e-05,3.92e-05,0.00311344,0.00020752
15,0.00027216,0.0004288,5.984e-05,3.872e-05,0.00312128,0.00020848
16,0.0002688,0.00039856,5.968e-05,3.888e-05,0.00313584,0.00021392
17,0.00027952,0.00041728,6.08e-05,3.872e-05,0.00314368,0.00021184
18,0.00027248,0.00040496,6.096e-05,3.952e-05,0.00314832,0.00021072
19,0.00027216,0.00037568,6.048e-05,4.096e-05,0.0031592,0.00020832
20,0.00026896,0.00023872,6.16e-05,4.752e-05,0.00319232,0.00021216
21,0.00028128,0.0004224,6.16e-05,5.152e-05,0.00322032,0.0002136
22,0.00026992,0.00041568,6.256e-05,5.648e-05,0.00324512,0.00021136
23,0.0002648,0.00041584,6.368e-05,5.888e-05,0.0032664,0.000212
24,0.00027232,0.0004136,6.512e-05,6.08e-05,0.00327776,0.0002072
25,0.00027072,0.00042464,6.688e-05,6.656e-05,0.0033136,0.00021152
