frame,blit,drawSides,gBuffer,shading
118,4.336e-05,0.0130274,0.00157648,0.0004096
119,4.352e-05,0.0130307,0.0015384,0.00041232
120,4.352e-05,0.0130424,0.00149872,0.00040448
121,4.336e-05,0.0130429,0.00146784,0.00041056
122,4.352e-05,0.0130626,0.00142112,0.00041136
123,4.368e-05,0.0130648,0.00141264,0.00041152
124,4.384e-05,0.0130718,0.00141616,0.0004056
125,4.336e-05,0.0130707,0.00143136,0.00041232
126,4.304e-05,0.0130768,0.00142816,0.00040752
127,4.352e-05,0.0130675,0.00142784,0.00041184
128,4.272e-05,0.0130872,0.001432,0.00040784
129,4.24e-05,0.0130726,0.00143312,0.000416
130,4.192e-05,0.0130608,0.00144048,0.00041008
131,4.176e-05,0.0130434,0.00144496,0.00041056
132,4.208e-05,0.0130466,0.00145952,0.00040608
133,4.224e-05,0.0130482,0.00146432,0.00041152
134,4.16e-05,0.0130624,0.00147056,0.00041584
135,4.096e-05,0.0130838,0.00147424,0.00041616
136,4.08e-05,0.013089,0.00149088,0.0004112
137,4.064e-05,0.0131066,0.00149248,0.00040912
138,4.08e-05,0.0131043,0.0014952,0.00040768
139,4.016e-05,0.013085,0.0014856,0.00041008
140,3.984e-05,0.0130654,0.00150208,0.00040976
141,4e-05,0.0130731,0.0014848,0.0004176
142,3.936e-05,0.0130994,0.00148848,0.00041104
143,3.872e-05,0.0131104,0.00146992,0.00041328
144,3.808e-05,0.0131176,0.0014672,0.00041648
145,3.728e-05,0.0131429,0.00146192,0.00041664
146,3.696e-05,0.0131837,0.00145664,0.00041904
147,3.584e-05,0.0132109,0.00146128,0.0004144
148,3.44e-05,0.013244,0.00145744,0.00041392
149,3.376e-05,0.0132915,0.00145824,0.0004152
150,3.216e-05,0.0133208,0.00146528,0.00042208
151,3.104e-05,0.0133422,0.00146416,0.00041808
152,3.008e-05,0.0133861,0.00146384,0.00041776
153,2.976e-05,0.0134226,0.0014592,0.00042128
154,2.88e-05,0.0134835,0.00145696,0.0004184
155,2.896e-05,0.0135179,0.00146656,0.00042048
156,2.752e-05,0.0135506,0.00148176,0.00041952
157,2.672e-05,0.0135326,0.00148976,0.00041984
158,2.592e-05,0.0135618,0.00149008,0.00042048
159,2.48e-05,0.0135811,0.0014912,0.00042304
160,2.352e-05,0.0136248,0.0014976,0.00042896
161,2.208e-05,0.0136578,0.00149872,0.00042448
162,2.096e-05,0.0137307,0.00149648,0.00042496
163,1.952e-05,0.0138117,0.00150208,0.0004264
164,1.872e-05,0.0139099,0.00151904,0.000424
165,1.776e-05,0.014021,0.00152288,0.0004248
166,1.76e-05,0.01416,0.0015224,0.00042736
167,1.68e-05,0.0143144,0.00155104,0.00042768
168,1.696e-05,0.0144163,0.00158704,0.00042464
169,1.712e-05,0.0143982,0.00160848,0.0004256
170,1.68e-05,0.0142408,0.00162128,0.00042336
171,3.824e-05,0.0140312,0.00162704,0.0004176
172,3.792e-05,0.0138405,0.00162608,0.00041424
173,3.824e-05,0.0137605,0.00161584,0.00041184
174,3.856e-05,0.0137702,0.00165072,0.00040144
175,3.888e-05,0.0138088,0.00164832,0.00040544
176,3.84e-05,0.0138438,0.00161184,0.0004136
177,3.824e-05,0.0139066,0.00157152,0.00041328
178,3.808e-05,0.0139477,0.00151504,0.00041248
179,2.48e-05,0.0139878,0.0014832,0.00042624
180,2.304e-05,0.014013,0.0014576,0.00042528
181,2.448e-05,0.0140368,0.00145072,0.00042032
182,2.32e-05,0.0139787,0.00143504,0.00042336
183,2.256e-05,0.0139554,0.00143136,0.00042336
184,3.888e-05,0.0138853,0.00143056,0.00041232
185,2.32e-05,0.0137883,0.00144288,0.00042416
186,1.936e-05,0.0137288,0.00144944,0.000428
187,1.824e-05,0.0136662,0.00147088,0.00042784
188,1.872e-05,0.0136794,0.00146912,0.00042752
189,1.84e-05,0.0136424,0.00148288,0.00042544
190,1.856e-05,0.0136688,0.0014952,0.00042736
191,2.24e-05,0.0135739,0.00150384,0.00042496
192,1.856e-05,0.0135803,0.00151152,0.00042592
193,1.856e-05,0.013572,0.00150896,0.00042288
194,2.176e-05,0.013583,0.0015184,0.00042352
195,1.744e-05,0.0135882,0.00152496,0.00042608
196,1.856e-05,0.0134842,0.00150768,0.0004256
197,2e-05,0.0134504,0.0015152,0.00042416
198,1.936e-05,0.0134342,0.00150304,0.00042688
199,1.92e-05,0.0134056,0.00150896,0.00042544
200,2.16e-05,0.0133794,0.00150272,0.00042592
201,3.968e-05,0.0133648,0.00151728,0.00041504
202,3.984e-05,0.0133363,0.00151744,0.000416
203,3.472e-05,0.0133147,0.0015192,0.0004168
204,3.968e-05,0.0132982,0.00152,0.00041632
205,4.016e-05,0.0132914,0.00151456,0.00040944
