frame,blit,compute,drawCaps,drawSides,gBuffer,shading
0,0.00045424,0.0009056,0.00188304,0.002968,0.0132333,0.0003216
1,0.00031776,0.00044352,0.00160128,0.00253904,0.00774656,0.0002568
2,0.00029152,0.000408,0.00154704,0.00242128,0.00631792,0.00024208
3,0.00028528,0.00059008,0.00150176,0.00243744,0.00617152,0.00023616
4,0.00027424,0.00040768,0.00146272,0.00230864,0.00607824,0.00022832
5,0.00026224,0.00039344,0.00144416,0.00234688,0.00600592,0.000228
6,0.00026592,0.00041056,0.00145248,0.00242288,0.00602768,0.00023552
7,0.00026512,0.00039168,0.0014552,0.00248144,0.00605024,0.00023312
8,0.00025984,0.00041488,0.00146528,0.00261216,0.00608592,0.00022816
9,0.00026912,0.00039376,0.00146976,0.00270944,0.0061056,0.00023232
10,0.0002656,0.00039776,0.00148144,0.00282832,0.00615616,0.00023312
11,0.0002688,0.0004096,0.0014768,0.00297568,0.00618704,0.00023344
12,0.0002656,0.00055904,0.00149392,0.0030648,0.0062392,0.00023216
13,0.0002648,0.0004152,0.0015056,0.0032248,0.00632176,0.00023232
14,0.00026304,0.0004192,0.00152224,0.00330256,0.0063344,0.00023264
15,0.0002632,0.00040672,0.00153488,0.0034384,0.00637872,0.00023424
16,0.00026528,0.00040624,0.00153936,0.0035536,0.00646528,0.00023296
17,0.00026496,0.00041008,0.0015432,0.0036592,0.00650272,0.00023376
18,0.00026176,0.00040704,0.00155232,0.00366496,0.00657744,0.00022736
19,0.00025536,0.00040528,0.0015632,0.00371856,0.00657536,0.00023312
20,0.0002576,0.00041232,0.00156768,0.00378336,0.00658208,0.00023232
21,0.0002608,0.00041792,0.0015816,0.00381424,0.0066216,0.00022768
22,0.00026,0.00039056,0.00158752,0.003976,0.00661456,0.00023344
23,0.00025904,0.0004184,0.00158688,0.0040072,0.00663696,0.00023248
24,0.00026496,0.00041904,0.00157808,0.00411952,0.00667776,0.00022688
25,0.000256,0.00041968,0.00157648,0.00422864,0.00668528,0.00023344
26,0.00026032,0.0004136,0.00159408,0.00429696,0.00672288,0.0002344
27,0.00025488,0.00040432,0.00157936,0.00445072,0.00675104,0.00022864
28,0.00024944,0.00040256,0.00158704,0.00457248,0.00678864,0.00022848
29,0.00025248,0.00042064,0.00159136,0.00457792,0.00685264,0.00023312
30,0.00025056,0.00040816,0.00159936,0.00482256,0.00686176,0.00022976
31,0.00025232,0.00040832,0.00161136,0.00493184,0.00686992,0.00023568
32,0.00024992,0.00042128,0.00163936,0.00513456,0.0069008,0.00023472
33,0.00024864,0.00041312,0.0016448,0.00525792,0.00687056,0.0002352
34,0.0002464,0.0003864,0.0016624,0.00545312,0.00688176,0.00023552
35,0.0002456,0.0004184,0.00167488,0.00545344,0.00688512,0.0002368
36,0.0002424,0.00041728,0.00168432,0.0055824,0.006944,0.00023744
37,0.00024048,0.00041376,0.00168896,0.00577008,0.00694512,0.00023728
38,0.00023792,0.00040256,0.0017008,0.00574688,0.00695136,0.00023264
39,0.00023568,0.000404,0.00170512,0.00569712,0.00692544,0.00023808
40,0.00023744,0.00037472,0.00170288,0.00544464,0.00687296,0.00023824
41,0.0002432,0.00039328,0.00170336,0.00550064,0.00687088,0.00023648
42,0.00024544,0.00040944,0.00168096,0.00523888,0.00673968,0.0002336
43,0.00024592,0.00040848,0.00167632,0.00512832,0.00672128,0.00023392
44,0.00024608,0.00041264,0.00167136,0.0049496,0.00674288,0.00022992
45,0.00024944,0.00039168,0.00166624,0.00473536,0.00670688,0.00023328
46,0.00024432,0.00041696,0.00163232,0.00467104,0.00667808,0.00023376
47,0.00024992,0.00037136,0.00160816,0.00456416,0.00663824,0.00022992
48,0.00025984,0.00039552,0.00163008,0.0046016,0.00681536,0.0002304
49,0.00026512,0.00041216,0.00161792,0.00479392,0.00683616,0.00023248
50,0.00026544,0.00040416,0.0016248,0.00480304,0.0068736,0.00023216
51,0.00025888,0.00041072,0.00162464,0.00498992,0.00689168,0.0002328
52,0.00025616,0.00040128,0.00160016,0.00506496,0.00677648,0.00022848
53,0.00026144,0.00037152,0.00161168,0.00513984,0.00675408,0.00023344
54,0.00026368,0.00040832,0.00161216,0.00536448,0.00676176,0.00023216
55,0.00025968,0.00039616,0.0016104,0.0053344,0.0067032,0.00023168
56,0.0002632,0.00041472,0.00162576,0.00542016,0.00674224,0.0002328
57,0.00026,0.00041056,0.00162032,0.00566912,0.00673088,0.00023296
58,0.00026224,0.00040112,0.00162512,0.00564896,0.00670384,0.00023312
59,0.0002608,0.0004056,0.00163408,0.00575008,0.0066752,0.00023376
60,0.00026256,0.00041968,0.0016328,0.0058856,0.0066392,0.00023216
61,0.00025408,0.00055904,0.00163712,0.00598288,0.00664032,0.00023248
62,0.00025824,0.0004112,0.00163904,0.00611136,0.00662448,0.00023248
63,0.00025552,0.00053424,0.0016376,0.006128,0.0066224,0.000232
64,0.0002568,0.00039968,0.00164448,0.00631312,0.00663104,0.00023328
65,0.00026048,0.00041728,0.00165184,0.00654448,0.00664224,0.0002336
66,0.00025696,0.0004192,0.00165552,0.006676,0.00669472,0.000232
67,0.00025648,0.00041808,0.00166768,0.00679952,0.00671184,0.00023184
68,0.00025552,0.00041888,0.00168048,0.00697936,0.00673648,0.00022768
69,0.00025584,0.00039808,0.0016848,0.00699872,0.00675744,0.00023232
70,0.0002544,0.00041232,0.00169376,0.00730736,0.00678992,0.00023456
71,0.000256,0.00039808,0.00169472,0.00741424,0.00679184,0.00023376
72,0.00025344,0.00040576,0.00168832,0.00760448,0.00682176,0.00023456
73,0.00025248,0.00039728,0.00170848,0.00771648,0.00684048,0.0002336
74,0.00024896,0.00041184,0.00171312,0.0078584,0.00687504,0.00023376
75,0.00024672,0.00041088,0.00171568,0.00797936,0.00690208,0.00023472
76,0.0002488,0.00040448,0.00171712,0.00801248,0.00697952,0.00022928
77,0.00025056,0.00039872,0.00171712,0.00810768,0.00687648,0.00023296
78,0.00025008,0.00039456,0.00171008,0.00806768,0.00675552,0.0002336
79,0.00024992,0.00041648,0.00169376,0.00796304,0.00666928,0.00023344
80,0.00025056,0.00042064,0.00167664,0.00800976,0.00654192,0.0002296
81,0.00025024,0.00041072,0.00166992,0.0079952,0.006372,0.00023248
82,0.00025344,0.00041568,0.0016784,0.0080288,0.0063088,0.00023216
83,0.00025536,0.00042224,0.00166576,0.00795952,0.00612816,0.00023216
