frame,blit,computeHDT,computeShadowFrusta,gBuffer,merge,rasterize,shading
0,1.904e-05,0.0011432,0.0004952,0.00120416,0.0003624,0.0034928,0.00010768
1,1.328e-05,0.00014304,0.00049504,0.00056944,0.0001672,0.00264352,7.552e-05
2,1.312e-05,9.968e-05,0.00033936,0.00039856,0.00017792,0.00239152,7.504e-05
3,1.344e-05,0.00010176,0.00033936,0.00039872,0.00016896,0.00240192,7.376e-05
4,1.216e-05,9.904e-05,0.00034,0.00039984,0.00016208,0.00207072,6.72e-05
5,1.216e-05,9.04e-05,0.00030272,0.00035136,0.00022896,0.00201952,6.656e-05
6,1.232e-05,9.072e-05,0.000304,0.00035376,0.00017232,0.00202112,6.736e-05
7,1.152e-05,9.12e-05,0.000304,0.000352,0.0001608,0.001952,6.64e-05
8,1.296e-05,8.72e-05,0.00029904,0.00033984,0.00017856,0.00196704,6.688e-05
9,1.232e-05,8.72e-05,0.00029488,0.00033968,0.00017376,0.00207904,6.64e-05
10,1.168e-05,8.704e-05,0.00029248,0.00034224,0.0001776,0.00218704,6.528e-05
11,1.136e-05,8.544e-05,0.00029104,0.00033552,0.000176,0.00209408,6.544e-05
12,1.184e-05,8.544e-05,0.00029344,0.00033712,0.0001528,0.00203472,6.496e-05
13,1.12e-05,8.592e-05,0.00029296,0.00033984,0.0001464,0.00197024,6.4e-05
14,1.12e-05,8.544e-05,0.00028768,0.00033472,0.00016688,0.00187168,6.544e-05
15,1.12e-05,8.336e-05,0.00029024,0.00033504,0.00019744,0.00184592,6.352e-05
16,1.184e-05,8.352e-05,0.00028896,0.0003368,0.00019408,0.00188288,6.32e-05
17,1.12e-05,8.368e-05,0.00028576,0.00034,0.00018,0.00180192,6.352e-05
18,1.168e-05,8.208e-05,0.00028896,0.0003352,0.00016336,0.00183072,6.416e-05
19,1.104e-05,8.24e-05,0.00028496,0.00033856,0.00017888,0.00185856,6.384e-05
20,1.136e-05,8.24e-05,0.00028624,0.00034144,0.00017904,0.00191456,6.48e-05
21,1.104e-05,8.176e-05,0.00028704,0.00034336,0.00016352,0.00192912,6.448e-05
22,1.136e-05,8.176e-05,0.00028512,0.00034928,0.00017776,0.00196272,6.352e-05
23,1.152e-05,8.256e-05,0.0002864,0.00034944,0.00016976,0.00190768,6.304e-05
24,1.2e-05,8.144e-05,0.0002832,0.00035056,0.00017744,0.00189776,6.336e-05
25,1.136e-05,8.24e-05,0.00028608,0.00034912,0.00020128,0.00187888,6.336e-05
26,1.216e-05,8.288e-05,0.00028464,0.0003488,0.0001816,0.00190448,6.256e-05
27,1.104e-05,8.176e-05,0.00028528,0.00035232,0.00017968,0.00189648,6.4e-05
28,1.152e-05,8.192e-05,0.00028656,0.00035216,0.00018544,0.00185824,6.368e-05
29,1.088e-05,8.208e-05,0.00028384,0.00035344,0.00016768,0.00184656,6.4e-05
30,1.12e-05,8.24e-05,0.0002856,0.00035504,0.00015776,0.00186288,6.4e-05
31,1.136e-05,8.272e-05,0.000288,0.000356,0.00018256,0.00184256,6.544e-05
32,1.152e-05,8.272e-05,0.00028592,0.000356,0.00018256,0.00184688,6.416e-05
